tile,total_rooftops,rooftops_without_solar,square_meters_with_solar_m2,panel_area_m2,district_number,year,Unemployment_Rate,Average_Age,Elderly_Population,Young_Population,Total_Population,Number_of_Houses,employed
tile_r34_c8,44,31,19425.71,320.704,05,2009,"3,7","40,2",7886.0,6994.0,55590,,75
tile_r34_c9,33,25,5399.677,172.767,05,2009,"3,7","40,2",7886.0,6994.0,55590,,75
tile_r35_c0,81,75,3105.887,271.12,16,2009,"5,9","42,1",20187.0,17353.0,103732,,"66,9"
tile_r35_c1,41,31,5469.694,219.932,16,2009,"5,9","42,1",20187.0,17353.0,103732,,"66,9"
tile_r35_c10,51,35,19507.834,444.505,13,2009,"3,4","43,1",15787.0,11165.0,76684,,"67,1"
tile_r35_c11,67,58,15982.226,205.337,13,2009,"3,4","43,1",15787.0,11165.0,76684,,"67,1"
tile_r35_c12,46,40,11177.874,682.75,13,2009,"3,4","43,1",15787.0,11165.0,76684,,"67,1"
tile_r35_c13,32,25,13310.208,233.857,13,2009,"3,4","43,1",15787.0,11165.0,76684,,"67,1"
tile_r35_c14,12,8,7743.117,404.478,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r35_c15,7,6,2549.803,200.785,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r35_c16,9,8,169.436,19.746,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r35_c17,24,19,3562.041,148.19,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r35_c18,43,37,1740.284,96.162,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r35_c19,74,67,1744.03,171.079,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r35_c2,54,45,15626.264,636.959,16,2009,"5,9","42,1",20187.0,17353.0,103732,,"66,9"
tile_r35_c20,34,26,3472.584,178.277,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r35_c21,7,7,0.0,0.0,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r35_c22,27,19,9494.857,58.88,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r35_c23,67,54,5797.45,169.303,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r35_c24,59,56,591.63,56.533,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r35_c25,38,32,15616.955,546.594,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r35_c26,1,1,0.0,0.0,12,2009,"3,8","40,2",10088.0,8031.0,63720,,"73,6"
tile_r35_c3,22,12,16212.354,974.897,16,2009,"5,9","42,1",20187.0,17353.0,103732,,"66,9"
tile_r35_c4,26,20,8917.535,718.266,16,2009,"5,9","42,1",20187.0,17353.0,103732,,"66,9"
tile_r35_c5,27,19,18427.168,864.438,05,2009,"3,7","40,2",7886.0,6994.0,55590,,75
tile_r35_c6,29,22,27846.353,215.66,05,2009,"3,7","40,2",7886.0,6994.0,55590,,75
tile_r35_c7,74,59,17141.116,605.883,05,2009,"3,7","40,2",7886.0,6994.0,55590,,75
tile_r35_c8,36,27,21179.454,684.764,05,2009,"3,7","40,2",7886.0,6994.0,55590,,75
tile_r35_c9,36,26,39807.203,1594.629,05,2009,"3,7","40,2",7886.0,6994.0,55590,,75
tile_r36_c0,147,132,3148.652,239.424,16,2009,"5,9","42,1",20187.0,17353.0,103732,,"66,9"
tile_r36_c1,50,44,2859.198,879.826,16,2009,"5,9","42,1",20187.0,17353.0,103732,,"66,9"
tile_r36_c10,52,40,10248.178,370.352,13,2009,"3,4","43,1",15787.0,11165.0,76684,,"67,1"
tile_r36_c11,62,53,7516.046,504.261,13,2009,"3,4","43,1",15787.0,11165.0,76684,,"67,1"
tile_r36_c12,58,50,12216.29,122.04,13,2009,"3,4","43,1",15787.0,11165.0,76684,,"67,1"
tile_r36_c13,32,26,10916.632,427.679,13,2009,"3,4","43,1",15787.0,11165.0,76684,,"67,1"
