Year,Location,Value,District
2016,Au - Haidhausen,74,05
2016,Sendling,"74,5",06
2016,Sendling - Westpark,"69,6",07
2016,Schwanthalerhöhe,"75,7",08
2016,Neuhausen - Nymphenburg,"71,3",09
2016,Moosach,"68,9",10
2016,Milbertshofen - Am Hart,"72,2",11
2016,Schwabing - Freimann,"73,1",12
2016,Bogenhausen,"66,7",13
2016,Berg am Laim,"69,7",14
2016,Trudering - Riem,"67,3",15
2016,Ramersdorf - Perlach,"66,2",16
2016,Obergiesing - Fasangarten,"72,8",17
2016,Untergiesing - Harlaching,"69,5",18
2016,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"65,9",19
2016,Hadern,"65,7",20
2016,Pasing - Obermenzing,"66,5",21
2016,Aubing - Lochhausen - Langwied,65,22
2016,Allach - Untermenzing,"65,9",23
2016,Feldmoching - Hasenbergl,"66,8",24
2016,Laim,"70,3",25
2015,Stadt München,"70,1",00
2015,Altstadt - Lehel,74,01
2015,Ludwigsvorstadt - Isarvorstadt,79,02
2015,Maxvorstadt,"80,1",03
2015,Schwabing - West,"72,4",04
2015,Au - Haidhausen,"74,2",05
2015,Sendling,"74,6",06
2015,Sendling - Westpark,"69,6",07
2015,Schwanthalerhöhe,"75,7",08
2015,Neuhausen - Nymphenburg,"71,5",09
2015,Moosach,"69,2",10
2015,Milbertshofen - Am Hart,"72,2",11
2015,Schwabing - Freimann,"73,2",12
2015,Bogenhausen,"66,6",13
2015,Berg am Laim,"69,9",14
2015,Trudering - Riem,"66,9",15
2015,Ramersdorf - Perlach,"66,1",16
2015,Obergiesing - Fasangarten,"72,9",17
2015,Untergiesing - Harlaching,"69,1",18
2015,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"65,7",19
2015,Hadern,"65,5",20
2015,Pasing - Obermenzing,"66,5",21
2015,Aubing - Lochhausen - Langwied,"64,6",22
2015,Allach - Untermenzing,66,23
2015,Feldmoching - Hasenbergl,"66,8",24
2015,Laim,"70,2",25
2014,Stadt München,"70,1",00
2014,Altstadt - Lehel,"73,9",01
2014,Ludwigsvorstadt - Isarvorstadt,"79,1",02
2014,Maxvorstadt,"80,2",03
2014,Schwabing - West,"72,6",04
2014,Au - Haidhausen,"74,3",05
2014,Sendling,"74,6",06
2014,Sendling - Westpark,"69,4",07
2014,Schwanthalerhöhe,"75,9",08
2014,Neuhausen - Nymphenburg,"71,8",09
2014,Moosach,"69,3",10
2014,Milbertshofen - Am Hart,"72,1",11
