Year,Location,Population,District
2010,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,11685.0,19
2010,Hadern,7290.0,20
2010,Pasing - Obermenzing,10934.0,21
2010,Aubing - Lochhausen - Langwied,6751.0,22
2010,Allach - Untermenzing,5067.0,23
2010,Feldmoching - Hasenbergl,10073.0,24
2010,Laim,6323.0,25
2009,Stadt München,194514.0,00
2009,Altstadt - Lehel,1926.0,01
2009,Ludwigsvorstadt - Isarvorstadt,4834.0,02
2009,Maxvorstadt,4167.0,03
2009,Schwabing - West,6867.0,04
2009,Au - Haidhausen,6994.0,05
2009,Sendling,5024.0,06
2009,Sendling - Westpark,6937.0,07
2009,Schwanthalerhöhe,3924.0,08
2009,Neuhausen - Nymphenburg,11106.0,09
2009,Moosach,7403.0,10
2009,Milbertshofen - Am Hart,10556.0,11
2009,Schwabing - Freimann,8031.0,12
2009,Bogenhausen,11165.0,13
2009,Berg am Laim,5740.0,14
2009,Trudering - Riem,12681.0,15
2009,Ramersdorf - Perlach,17353.0,16
2009,Obergiesing - Fasangarten,6386.0,17
2009,Untergiesing - Harlaching,6331.0,18
2009,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,11225.0,19
2009,Hadern,7240.0,20
2009,Pasing - Obermenzing,10837.0,21
2009,Aubing - Lochhausen - Langwied,6559.0,22
2009,Allach - Untermenzing,4983.0,23
2009,Feldmoching - Hasenbergl,9997.0,24
2009,Laim,6248.0,25
2008,Stadt München,193268.0,00
2008,Altstadt - Lehel,1904.0,01
2008,Ludwigsvorstadt - Isarvorstadt,4845.0,02
2008,Maxvorstadt,4110.0,03
2008,Schwabing - West,6829.0,04
2008,Au - Haidhausen,6849.0,05
2008,Sendling,5045.0,06
2008,Sendling - Westpark,6905.0,07
2008,Schwanthalerhöhe,3891.0,08
2008,Neuhausen - Nymphenburg,10788.0,09
2008,Moosach,7390.0,10
2008,Milbertshofen - Am Hart,10530.0,11
2008,Schwabing - Freimann,8129.0,12
2008,Bogenhausen,11194.0,13
2008,Berg am Laim,5773.0,14
2008,Trudering - Riem,12111.0,15
2008,Ramersdorf - Perlach,17376.0,16
2008,Obergiesing - Fasangarten,6186.0,17
2008,Untergiesing - Harlaching,6349.0,18
2008,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,11209.0,19
2008,Hadern,7260.0,20
2008,Pasing - Obermenzing,10791.0,21
2008,Aubing - Lochhausen - Langwied,6610.0,22
2008,Allach - Untermenzing,4929.0,23
2008,Feldmoching - Hasenbergl,10061.0,24
2008,Laim,6204.0,25
2007,Stadt München,191745.0,00
2007,Altstadt - Lehel,1904.0,01
2007,Ludwigsvorstadt - Isarvorstadt,4716.0,02
2007,Maxvorstadt,4171.0,03
2007,Schwabing - West,6708.0,04
2007,Au - Haidhausen,6681.0,05
2007,Sendling,5028.0,06
2007,Sendling - Westpark,6987.0,07
2007,Schwanthalerhöhe,3698.0,08
2007,Neuhausen - Nymphenburg,10725.0,09
2007,Moosach,7499.0,10
2007,Milbertshofen - Am Hart,10577.0,11
2007,Schwabing - Freimann,8229.0,12
2007,Bogenhausen,11062.0,13
2007,Berg am Laim,5708.0,14
2007,Trudering - Riem,11288.0,15
2007,Ramersdorf - Perlach,17432.0,16
2007,Obergiesing - Fasangarten,6161.0,17
2007,Untergiesing - Harlaching,6238.0,18
2007,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,11251.0,19
2007,Hadern,7324.0,20
2007,Pasing - Obermenzing,10663.0,21
2007,Aubing - Lochhausen - Langwied,6628.0,22
2007,Allach - Untermenzing,4810.0,23
2007,Feldmoching - Hasenbergl,10073.0,24
2007,Laim,6184.0,25
2006,Stadt München,188586.0,00
2006,Altstadt - Lehel,1843.0,01
2006,Ludwigsvorstadt - Isarvorstadt,4615.0,02
2006,Maxvorstadt,3994.0,03
2006,Schwabing - West,6498.0,04
2006,Au - Haidhausen,6591.0,05
2006,Sendling,5059.0,06
2006,Sendling - Westpark,6896.0,07
2006,Schwanthalerhöhe,3569.0,08
2006,Neuhausen - Nymphenburg,10606.0,09
2006,Moosach,7584.0,10
2006,Milbertshofen - Am Hart,10526.0,11
2006,Schwabing - Freimann,8165.0,12
2006,Bogenhausen,10841.0,13
2006,Berg am Laim,5506.0,14
2006,Trudering - Riem,10481.0,15
2006,Ramersdorf - Perlach,17562.0,16
2006,Obergiesing - Fasangarten,6133.0,17
2006,Untergiesing - Harlaching,6102.0,18
2006,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,10995.0,19
2006,Hadern,7243.0,20
2006,Pasing - Obermenzing,10395.0,21
2006,Aubing - Lochhausen - Langwied,6576.0,22
2006,Allach - Untermenzing,4737.0,23
2006,Feldmoching - Hasenbergl,9917.0,24
2006,Laim,6152.0,25
2005,Stadt München,187253.0,00
2005,Altstadt - Lehel,1915.0,01
2005,Ludwigsvorstadt - Isarvorstadt,4657.0,02
2005,Maxvorstadt,3815.0,03
2005,Schwabing - West,6169.0,04
2005,Au - Haidhausen,6486.0,05
2005,Sendling,5126.0,06
2005,Sendling - Westpark,6848.0,07
2005,Schwanthalerhöhe,3537.0,08
2005,Neuhausen - Nymphenburg,10622.0,09
2005,Moosach,7595.0,10
2005,Milbertshofen - Am Hart,10467.0,11
2005,Schwabing - Freimann,8317.0,12
2005,Bogenhausen,10745.0,13
2005,Berg am Laim,5546.0,14
2005,Trudering - Riem,9787.0,15
2005,Ramersdorf - Perlach,17714.0,16
2005,Obergiesing - Fasangarten,6115.0,17
2005,Untergiesing - Harlaching,6052.0,18
2005,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,10942.0,19
2005,Hadern,7216.0,20
2005,Pasing - Obermenzing,10344.0,21
2005,Aubing - Lochhausen - Langwied,6613.0,22
2005,Allach - Untermenzing,4746.0,23
2005,Feldmoching - Hasenbergl,9765.0,24
2005,Laim,6113.0,25
2004,Stadt München,184906.0,00
2004,Altstadt - Lehel,1849.0,01
2004,Ludwigsvorstadt - Isarvorstadt,4654.0,02
2004,Maxvorstadt,3816.0,03
2004,Schwabing - West,6039.0,04
2004,Au - Haidhausen,6356.0,05
2004,Sendling,5108.0,06
2004,Sendling - Westpark,6745.0,07
2004,Schwanthalerhöhe,3547.0,08
2004,Neuhausen - Nymphenburg,10587.0,09
2004,Moosach,7515.0,10
2004,Milbertshofen - Am Hart,10132.0,11
2004,Schwabing - Freimann,8444.0,12
2004,Bogenhausen,10464.0,13
2004,Berg am Laim,5571.0,14
2004,Trudering - Riem,9072.0,15
2004,Ramersdorf - Perlach,17660.0,16
2004,Obergiesing - Fasangarten,5977.0,17
2004,Untergiesing - Harlaching,5988.0,18
2004,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,10640.0,19
2004,Hadern,7102.0,20
2004,Pasing - Obermenzing,10292.0,21
2004,Aubing - Lochhausen - Langwied,6689.0,22
2004,Allach - Untermenzing,4752.0,23
2004,Feldmoching - Hasenbergl,9803.0,24
2004,Laim,6104.0,25
2003,Stadt München,183887.0,00
2003,Altstadt - Lehel,1891.0,01
2003,Ludwigsvorstadt - Isarvorstadt,4612.0,02
2003,Maxvorstadt,3866.0,03
2003,Schwabing - West,5687.0,04
2003,Au - Haidhausen,6326.0,05
2003,Sendling,4963.0,06
2003,Sendling - Westpark,6753.0,07
2003,Schwanthalerhöhe,3487.0,08
2003,Neuhausen - Nymphenburg,10771.0,09
2003,Moosach,7535.0,10
2003,Milbertshofen - Am Hart,9796.0,11
2003,Schwabing - Freimann,8604.0,12
2003,Bogenhausen,10381.0,13
2003,Berg am Laim,5521.0,14
2003,Trudering - Riem,8747.0,15
2003,Ramersdorf - Perlach,17741.0,16
2003,Obergiesing - Fasangarten,6123.0,17
2003,Untergiesing - Harlaching,5970.0,18
2003,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,10674.0,19
2003,Hadern,6922.0,20
2003,Pasing - Obermenzing,10204.0,21
2003,Aubing - Lochhausen - Langwied,6693.0,22
2003,Allach - Untermenzing,4750.0,23
2003,Feldmoching - Hasenbergl,9803.0,24
2003,Laim,6067.0,25
2002,Stadt München,181730.0,00
2002,Altstadt - Lehel,1823.0,01
2002,Ludwigsvorstadt - Isarvorstadt,4617.0,02
2002,Maxvorstadt,3879.0,03
2002,Schwabing - West,5615.0,04
2002,Au - Haidhausen,6421.0,05
2002,Sendling,4912.0,06
2002,Sendling - Westpark,6714.0,07
2002,Schwanthalerhöhe,3407.0,08
2002,Neuhausen - Nymphenburg,10824.0,09
2002,Moosach,7531.0,10
2002,Milbertshofen - Am Hart,9514.0,11
2002,Schwabing - Freimann,8691.0,12
2002,Bogenhausen,10107.0,13
2002,Berg am Laim,5524.0,14
2002,Trudering - Riem,8471.0,15
2002,Ramersdorf - Perlach,17441.0,16
2002,Obergiesing - Fasangarten,6039.0,17
2002,Untergiesing - Harlaching,5863.0,18
2002,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,10524.0,19
2002,Hadern,6806.0,20
2002,Pasing - Obermenzing,9876.0,21
2002,Aubing - Lochhausen - Langwied,6742.0,22
2002,Allach - Untermenzing,4682.0,23
2002,Feldmoching - Hasenbergl,9732.0,24
2002,Laim,5975.0,25
2001,Stadt München,180125.0,00
2001,Altstadt - Lehel,1781.0,01
2001,Ludwigsvorstadt - Isarvorstadt,4620.0,02
2001,Maxvorstadt,3944.0,03
2001,Schwabing - West,5589.0,04
2001,Au - Haidhausen,6461.0,05
2001,Sendling,4792.0,06
2001,Sendling - Westpark,6751.0,07
2001,Schwanthalerhöhe,3381.0,08
2001,Neuhausen - Nymphenburg,10806.0,09
2001,Moosach,7464.0,10
2001,Milbertshofen - Am Hart,9381.0,11
