Year,Location,Overall Population,District
2017,Feldmoching - Hasenbergl,60933,24
2017,Laim,56281,25
2016,Stadt München,1542860,00
2016,Altstadt - Lehel,21454,01
2016,Ludwigsvorstadt - Isarvorstadt,54915,02
2016,Maxvorstadt,53443,03
2016,Schwabing - West,69407,04
2016,Au - Haidhausen,61999,05
2016,Sendling,41230,06
2016,Sendling - Westpark,59174,07
2016,Schwanthalerhöhe,30282,08
2016,Neuhausen - Nymphenburg,99538,09
2016,Moosach,53859,10
2016,Milbertshofen - Am Hart,76255,11
2016,Schwabing - Freimann,77188,12
2016,Bogenhausen,87164,13
2016,Berg am Laim,45655,14
2016,Trudering - Riem,71448,15
2016,Ramersdorf - Perlach,113898,16
2016,Obergiesing - Fasangarten,54784,17
2016,Untergiesing - Harlaching,54050,18
2016,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,96200,19
2016,Hadern,50567,20
2016,Pasing - Obermenzing,74432,21
2016,Aubing - Lochhausen - Langwied,45571,22
2016,Allach - Untermenzing,32248,23
2016,Feldmoching - Hasenbergl,61764,24
2016,Laim,56335,25
2015,Stadt München,1521678,00
2015,Altstadt - Lehel,21122,01
2015,Ludwigsvorstadt - Isarvorstadt,54049,02
2015,Maxvorstadt,53743,03
2015,Schwabing - West,68527,04
2015,Au - Haidhausen,61495,05
2015,Sendling,40879,06
2015,Sendling - Westpark,58398,07
2015,Schwanthalerhöhe,30381,08
2015,Neuhausen - Nymphenburg,98702,09
2015,Moosach,53261,10
2015,Milbertshofen - Am Hart,75488,11
2015,Schwabing - Freimann,75020,12
2015,Bogenhausen,85947,13
2015,Berg am Laim,45035,14
2015,Trudering - Riem,69830,15
2015,Ramersdorf - Perlach,112371,16
2015,Obergiesing - Fasangarten,54402,17
2015,Untergiesing - Harlaching,53377,18
2015,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,93602,19
2015,Hadern,50257,20
2015,Pasing - Obermenzing,73320,21
2015,Aubing - Lochhausen - Langwied,43682,22
2015,Allach - Untermenzing,31882,23
2015,Feldmoching - Hasenbergl,61534,24
2015,Laim,55374,25
2014,Stadt München,1490681,00
2014,Altstadt - Lehel,20806,01
2014,Ludwigsvorstadt - Isarvorstadt,52177,02
2014,Maxvorstadt,52575,03
2014,Schwabing - West,67094,04
