Year,Location,Population,District
2009,Trudering - Riem,39,15
2009,Ramersdorf - Perlach,"42,1",16
2009,Obergiesing - Fasangarten,"40,7",17
2009,Untergiesing - Harlaching,"43,2",18
2009,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"44,2",19
2009,Hadern,"42,7",20
2009,Pasing - Obermenzing,"42,2",21
2009,Aubing - Lochhausen - Langwied,"42,9",22
2009,Allach - Untermenzing,"42,5",23
2009,Feldmoching - Hasenbergl,"41,7",24
2009,Laim,43,25
2008,Stadt München,"41,5",00
2008,Altstadt - Lehel,"42,4",01
2008,Ludwigsvorstadt - Isarvorstadt,"39,2",02
2008,Maxvorstadt,"38,7",03
2008,Schwabing - West,"41,4",04
2008,Au - Haidhausen,"40,4",05
2008,Sendling,40,06
2008,Sendling - Westpark,"42,4",07
2008,Schwanthalerhöhe,"38,9",08
2008,Neuhausen - Nymphenburg,"41,6",09
2008,Moosach,"41,6",10
2008,Milbertshofen - Am Hart,"39,5",11
2008,Schwabing - Freimann,40,12
2008,Bogenhausen,"42,9",13
2008,Berg am Laim,"41,6",14
2008,Trudering - Riem,"39,1",15
2008,Ramersdorf - Perlach,"41,9",16
2008,Obergiesing - Fasangarten,"40,8",17
2008,Untergiesing - Harlaching,"43,2",18
2008,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"44,2",19
2008,Hadern,"42,5",20
2008,Pasing - Obermenzing,"42,1",21
2008,Aubing - Lochhausen - Langwied,"42,8",22
2008,Allach - Untermenzing,"42,5",23
2008,Feldmoching - Hasenbergl,"41,6",24
2008,Laim,"43,1",25
2007,Stadt München,"41,5",00
2007,Altstadt - Lehel,"42,5",01
2007,Ludwigsvorstadt - Isarvorstadt,"39,4",02
2007,Maxvorstadt,39,03
2007,Schwabing - West,"41,5",04
2007,Au - Haidhausen,"40,4",05
2007,Sendling,"40,1",06
2007,Sendling - Westpark,"42,4",07
2007,Schwanthalerhöhe,"39,2",08
2007,Neuhausen - Nymphenburg,"41,7",09
2007,Moosach,"41,5",10
2007,Milbertshofen - Am Hart,"39,4",11
2007,Schwabing - Freimann,"39,9",12
2007,Bogenhausen,"42,8",13
2007,Berg am Laim,"41,6",14
2007,Trudering - Riem,"39,3",15
2007,Ramersdorf - Perlach,"41,8",16
2007,Obergiesing - Fasangarten,"40,9",17
2007,Untergiesing - Harlaching,"43,3",18
2007,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"44,1",19
2007,Hadern,"42,5",20
2007,Pasing - Obermenzing,42,21
2007,Aubing - Lochhausen - Langwied,"42,7",22
2007,Allach - Untermenzing,"42,6",23
2007,Feldmoching - Hasenbergl,"41,5",24
2007,Laim,"43,3",25
2006,Stadt München,"41,6",00
2006,Altstadt - Lehel,"42,6",01
2006,Ludwigsvorstadt - Isarvorstadt,"39,6",02
2006,Maxvorstadt,"39,3",03
2006,Schwabing - West,"41,8",04
2006,Au - Haidhausen,"40,6",05
2006,Sendling,"40,1",06
2006,Sendling - Westpark,"42,5",07
2006,Schwanthalerhöhe,"39,4",08
2006,Neuhausen - Nymphenburg,"41,9",09
2006,Moosach,"41,5",10
2006,Milbertshofen - Am Hart,"39,4",11
2006,Schwabing - Freimann,"40,1",12
2006,Bogenhausen,"42,7",13
2006,Berg am Laim,"41,7",14
2006,Trudering - Riem,"39,5",15
2006,Ramersdorf - Perlach,"41,6",16
2006,Obergiesing - Fasangarten,"41,1",17
2006,Untergiesing - Harlaching,"43,4",18
2006,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"44,1",19
2006,Hadern,"42,6",20
2006,Pasing - Obermenzing,"42,1",21
2006,Aubing - Lochhausen - Langwied,"42,6",22
2006,Allach - Untermenzing,"42,6",23
2006,Feldmoching - Hasenbergl,"41,5",24
2006,Laim,"43,4",25
2005,Stadt München,"41,8",00
2005,Altstadt - Lehel,"42,7",01
2005,Ludwigsvorstadt - Isarvorstadt,40,02
2005,Maxvorstadt,"40,4",03
2005,Schwabing - West,"42,6",04
2005,Au - Haidhausen,41,05
2005,Sendling,"40,2",06
2005,Sendling - Westpark,"42,7",07
2005,Schwanthalerhöhe,"39,8",08
2005,Neuhausen - Nymphenburg,"42,2",09
2005,Moosach,"41,5",10
2005,Milbertshofen - Am Hart,"39,7",11
2005,Schwabing - Freimann,"40,4",12
2005,Bogenhausen,"42,7",13
2005,Berg am Laim,"41,8",14
2005,Trudering - Riem,"39,6",15
2005,Ramersdorf - Perlach,"41,4",16
2005,Obergiesing - Fasangarten,"41,4",17
2005,Untergiesing - Harlaching,"43,6",18
2005,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"44,1",19
2005,Hadern,"42,7",20
2005,Pasing - Obermenzing,42,21
2005,Aubing - Lochhausen - Langwied,"42,5",22
2005,Allach - Untermenzing,"42,5",23
2005,Feldmoching - Hasenbergl,"41,7",24
2005,Laim,"43,7",25
2004,Stadt München,"41,8",00
2004,Altstadt - Lehel,"42,9",01
2004,Ludwigsvorstadt - Isarvorstadt,40,02
2004,Maxvorstadt,"40,6",03
2004,Schwabing - West,"42,7",04
2004,Au - Haidhausen,"41,3",05
2004,Sendling,"40,2",06
2004,Sendling - Westpark,"42,8",07
2004,Schwanthalerhöhe,"39,7",08
2004,Neuhausen - Nymphenburg,"42,2",09
2004,Moosach,"41,4",10
2004,Milbertshofen - Am Hart,"39,9",11
2004,Schwabing - Freimann,"40,3",12
2004,Bogenhausen,"42,7",13
2004,Berg am Laim,"41,8",14
2004,Trudering - Riem,"39,8",15
2004,Ramersdorf - Perlach,"41,3",16
2004,Obergiesing - Fasangarten,"41,5",17
2004,Untergiesing - Harlaching,"43,7",18
2004,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"44,2",19
2004,Hadern,"42,7",20
2004,Pasing - Obermenzing,42,21
2004,Aubing - Lochhausen - Langwied,"42,3",22
2004,Allach - Untermenzing,"42,3",23
2004,Feldmoching - Hasenbergl,"41,5",24
2004,Laim,"43,7",25
2003,Stadt München,"41,7",00
2003,Altstadt - Lehel,"42,8",01
2003,Ludwigsvorstadt - Isarvorstadt,"40,1",02
2003,Maxvorstadt,"40,6",03
2003,Schwabing - West,"42,8",04
2003,Au - Haidhausen,"41,2",05
2003,Sendling,"40,3",06
2003,Sendling - Westpark,"42,8",07
2003,Schwanthalerhöhe,"39,8",08
2003,Neuhausen - Nymphenburg,"42,1",09
2003,Moosach,"41,3",10
2003,Milbertshofen - Am Hart,"40,1",11
2003,Schwabing - Freimann,"40,1",12
2003,Bogenhausen,"42,6",13
2003,Berg am Laim,"41,8",14
2003,Trudering - Riem,"39,7",15
2003,Ramersdorf - Perlach,"41,1",16
2003,Obergiesing - Fasangarten,"41,4",17
2003,Untergiesing - Harlaching,"43,6",18
2003,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,44,19
2003,Hadern,"42,6",20
2003,Pasing - Obermenzing,"41,9",21
2003,Aubing - Lochhausen - Langwied,"42,1",22
2003,Allach - Untermenzing,"42,1",23
2003,Feldmoching - Hasenbergl,"41,3",24
2003,Laim,"43,7",25
2002,Stadt München,"41,7",00
2002,Altstadt - Lehel,"42,7",01
2002,Ludwigsvorstadt - Isarvorstadt,"40,1",02
2002,Maxvorstadt,"40,6",03
2002,Schwabing - West,"42,8",04
2002,Au - Haidhausen,41,05
2002,Sendling,"40,3",06
2002,Sendling - Westpark,"42,7",07
2002,Schwanthalerhöhe,"39,8",08
2002,Neuhausen - Nymphenburg,42,09
2002,Moosach,"41,2",10
2002,Milbertshofen - Am Hart,"40,1",11
2002,Schwabing - Freimann,40,12
2002,Bogenhausen,"42,5",13
2002,Berg am Laim,"41,6",14
2002,Trudering - Riem,"39,6",15
2002,Ramersdorf - Perlach,41,16
2002,Obergiesing - Fasangarten,"41,4",17
2002,Untergiesing - Harlaching,"43,7",18
2002,Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln,"43,9",19
2002,Hadern,"42,6",20
2002,Pasing - Obermenzing,"41,9",21
2002,Aubing - Lochhausen - Langwied,"41,9",22
2002,Allach - Untermenzing,42,23
2002,Feldmoching - Hasenbergl,"41,2",24
2002,Laim,"43,7",25
2001,Stadt München,"41,6",00
2001,Altstadt - Lehel,"42,6",01
2001,Ludwigsvorstadt - Isarvorstadt,"39,9",02
2001,Maxvorstadt,"40,5",03
2001,Schwabing - West,"42,7",04
2001,Au - Haidhausen,41,05
2001,Sendling,"40,3",06
2001,Sendling - Westpark,"42,7",07
2001,Schwanthalerhöhe,"39,7",08
2001,Neuhausen - Nymphenburg,42,09
2001,Moosach,"41,1",10
2001,Milbertshofen - Am Hart,"40,1",11
